Geography,Total.Pop,Percent.Non.White,Percent.Below.Poverty,Median.Household.Income,Percent.Bachelors.Plus,Lat,Lon
"Bangor, ME Metro Area",153649,4.7,17.0,43734,23.8,45.3906022,-68.6574869
"Barnstable Town, MA Metro Area",215449,6.8,9.3,60526,39.1,41.7988188,-70.2110827
"Baton Rouge, LA Metro Area",808816,39.8,17.1,51748,26.9,30.5708853,-91.1346201
"Battle Creek, MI Metro Area",135534,16.9,17.8,42110,19.5,42.2429896,-85.0123853
"Bay City, MI Metro Area",107312,5.6,14.7,45376,18.2,43.6997112,-83.9787007
"Beaumont-Port Arthur, TX Metro Area",403814,31.9,18.0,44977,16.1,30.0759448,-94.2054866
"Beckley, WV Metro Area",124882,9.7,18.6,38077,15.0,0,0
"Bellingham, WA Metro Area",203211,13.5,16.4,51939,31.9,48.8426531,-121.8364325
"Bend-Redmond, OR Metro Area",160565,6.8,14.5,50209,31.0,43.9151181,-121.2255751
"Billings, MT Metro Area",160991,9.2,12.3,51048,28.6,45.6424316,-108.5996608
"Binghamton, NY Metro Area",250087,10.2,15.7,47891,25.7,42.1639276,-76.0229431
"Birmingham-Hoover, AL Metro Area",1132182,33.0,16.1,48336,27.6,33.4623718,-86.8143378
"Bismarck, ND Metro Area",117878,9.9,9.5,60831,30.2,46.8373553,-100.9054499
"Blacksburg-Christiansburg-Radford, VA Metro Area",178865,10.2,21.2,44034,29.7,37.120036,-80.5570481
"Bloomington, IL Metro Area",187751,14.5,14.2,60999,40.2,0,0
"Bloomington, IN Metro Area",161101,11.2,23.5,40718,38.2,39.1479121,-86.7931726
"Bloomsburg-Berwick, PA Metro Area",85400,4.2,15.2,46135,22.1,0,0
"Boise City, ID Metro Area",628966,8.3,15.7,50126,29.3,43.0066485,-116.1419089
"Boston-Cambridge-Newton, MA-NH Metro Area",4604278,21.3,10.2,73180,43.4,42.5175019,-71.0231021
"Boulder, CO Metro Area",301072,12.3,14.2,67956,58.3,40.0948262,-105.3983824
"Bowling Green, KY Metro Area",160455,13.2,19.3,42569,23.0,37.0877399,-86.3540909
"Bremerton-Silverdale, WA Metro Area",252687,17.8,10.4,62413,29.5,47.6396874,-122.6496358
"Bridgeport-Stamford-Norwalk, CT Metro Area",926233,25.0,9.1,82283,44.8,41.2281028,-73.3667574
"Brownsville-Harlingen, TX Metro Area",410710,9.1,34.8,33179,15.4,26.1029227,-97.4789584
"Brunswick, GA Metro Area",112831,29.1,19.1,43572,21.6,31.3017523,-81.5888759
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1134695,18.7,14.4,50210,29.2,43.0443711,-78.7773351
"Burlington, NC Metro Area",152472,30.2,18.3,43043,21.7,36.0419739,-79.3999353
"Burlington-South Burlington, VT Metro Area",212640,6.9,10.8,61763,41.2,44.6860126,-73.0414959
"California-Lexington Park, MD Metro Area",107079,21.0,7.2,85672,29.5,0,0
"Canton-Massillon, OH Metro Area",404037,10.5,15.0,45424,20.4,40.7110722,-81.2614743
"Cape Coral-Fort Myers, FL Metro Area",633968,15.8,15.4,47439,24.7,26.5521343,-81.8922499
"Cape Girardeau, MO-IL Metro Area",96710,11.9,17.7,43182,23.6,37.3259361,-89.7626388
"Carbondale-Marion, IL Metro Area",126661,14.0,22.4,38930,27.9,0,0
"Carson City, NV Metro Area",54821,15.2,16.2,51957,20.1,39.1534468,-119.743442
"Casper, WY Metro Area",77343,7.2,9.9,57791,22.3,42.9736408,-106.7648769
"Cedar Rapids, IA Metro Area",260033,8.6,9.5,57003,28.7,42.085592,-91.6304705
"Chambersburg-Waynesboro, PA Metro Area",150594,6.7,11.0,52637,19.3,0,0
"Champaign-Urbana, IL Metro Area",233039,22.3,20.3,47368,39.2,40.2344885,-88.2986226
"Charleston, WV Metro Area",226180,9.6,15.3,45324,22.5,38.2894132,-81.6599215
"Charleston-North Charleston, SC Metro Area",682904,33.0,15.9,51911,31.7,33.0153833,-80.0107773
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2261321,30.3,15.1,52051,30.6,35.1091362,-80.7322711
"Charlottesville, VA Metro Area",220802,21.5,14.5,58015,41.1,37.9517645,-78.5971179
"Chattanooga, TN-GA Metro Area",533187,18.5,16.3,44955,23.1,35.0489484,-85.3619271
"Cheyenne, WY Metro Area",93073,12.3,10.8,55864,25.1,41.2928302,-104.660395
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9488493,33.5,13.8,61156,34.6,41.8235214,-87.8282967
"Chico, CA Metro Area",220542,16.0,20.4,43752,24.4,39.6659588,-121.6019188
"Cincinnati, OH-KY-IN Metro Area",2122940,17.0,13.9,54692,29.9,39.0785794,-84.4634978
"Clarksville, TN-KY Metro Area",266098,26.7,17.5,46069,20.9,36.6957098,-87.6243072
"Cleveland, TN Metro Area",116793,7.2,19.4,40811,17.4,35.138022,-84.6551121
"Cleveland-Elyria, OH Metro Area",2070965,25.4,15.4,48954,28.4,41.760392,-81.7242168
"Coeur d'Alene, ID Metro Area",140785,5.2,13.4,49002,23.3,47.6771129,-116.6949184
"College Station-Bryan, TX Metro Area",231417,24.6,28.0,39266,34.0,30.7543917,-96.4885368
"Colorado Springs, CO Metro Area",657699,18.3,12.2,57229,35.1,38.8454664,-104.6390684
"Columbia, MO Metro Area",165776,17.5,20.0,48627,47.3,39.0430744,-92.4627993
"Columbia, SC Metro Area",776794,39.0,16.1,49294,30.3,34.0841749,-81.0405974
"Columbus, GA-AL Metro Area",303626,47.4,18.6,42288,21.7,32.4367563,-84.9007384
"Columbus, IN Metro Area",77930,11.5,12.2,54165,26.5,39.205843,-85.8979988
"Columbus, OH Metro Area",1926242,21.6,15.2,54156,33.0,40.0399691,-82.93641
"Corpus Christi, TX Metro Area",433094,13.2,18.3,47373,19.3,27.8989315,-97.4012355
"Corvallis, OR Metro Area",85989,11.9,22.5,48604,50.0,44.4906234,-123.4263169
"Crestview-Fort Walton Beach-Destin, FL Metro Area",242442,18.0,14.4,52303,26.6,30.6658583,-86.5941941
"Cumberland, MD-WV Metro Area",102409,9.4,17.0,36833,15.8,39.5309788,-78.8061285
"Dallas-Fort Worth-Arlington, TX Metro Area",6575833,31.0,14.7,58356,31.7,32.8672144,-96.9331637
"Dalton, GA Metro Area",142060,10.6,21.0,39165,12.7,34.7969222,-84.8563302
"Danville, IL Metro Area",81147,17.0,19.6,41400,13.9,40.1867398,-87.7267715
"Daphne-Fairhope-Foley, AL Metro Area",187114,13.6,13.9,50221,27.7,0,0
"Davenport-Moline-Rock Island, IA-IL Metro Area",381142,13.9,12.7,51151,25.4,41.3916799,-90.460076
"Dayton, OH Metro Area",801888,20.8,16.3,47095,26.2,39.8060106,-84.2680556
"Decatur, AL Metro Area",153682,18.4,16.1,43312,18.1,34.4893614,-87.0971469
"Decatur, IL Metro Area",110262,20.8,17.6,46559,22.3,39.8602372,-88.9615288
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",593569,18.1,16.8,43133,21.2,29.0576172,-81.1618129
"Denver-Aurora-Lakewood, CO Metro Area",2601465,18.6,12.3,62742,39.2,39.4344245,-104.9024639
"Des Moines-West Des Moines, IA Metro Area",580913,12.3,10.7,60750,34.5,41.5449263,-93.9434507
"Detroit-Warren-Dearborn, MI Metro Area",4295700,29.7,16.7,51844,28.1,42.7218478,-83.2008463
"Dothan, AL Metro Area",146425,27.1,18.2,40076,17.5,31.2454962,-85.4691714
"Dover, DE Metro Area",165030,31.8,12.9,55149,21.4,39.0970884,-75.5029819
"Dubuque, IA Metro Area",94411,5.9,10.9,51475,27.1,42.4634808,-90.8787708
"Duluth, MN-WI Metro Area",279719,7.5,15.7,47074,24.8,47.3297471,-92.3764788
"Durham-Chapel Hill, NC Metro Area",516798,38.3,17.5,52549,44.1,35.995536,-79.0969897
"East Stroudsburg, PA Metro Area",168947,20.9,12.0,57408,23.8,0,0
"Eau Claire, WI Metro Area",162464,6.0,13.9,49176,25.9,44.938029,-91.285538
"El Centro, CA Metro Area",175201,31.6,23.3,41807,13.3,33.0408155,-115.3553946
"Elizabethtown-Fort Knox, KY Metro Area",149388,16.3,16.1,47693,18.2,37.6462171,-85.8864353
"Elkhart-Goshen, IN Metro Area",198662,14.4,16.7,45693,18.2,41.6006928,-85.8639864
"Elmira, NY Metro Area",88876,10.9,15.7,48804,21.5,42.1552807,-76.7471788
"El Paso, TX Metro Area",816409,19.1,23.4,40062,20.6,31.7664034,-106.2413905
"Erie, PA Metro Area",280518,11.7,16.9,45202,24.8,42.1179519,-80.0963858
"Eugene, OR Metro Area",353382,11.2,20.0,42931,27.7,43.9282763,-122.8976779
"Evansville, IN-KY Metro Area",312412,10.6,14.3,47810,22.4,37.978873,-87.5952438
"Fairbanks, AK Metro Area",98656,22.3,8.4,69223,29.0,64.6908322,-146.5998673
"Fargo, ND-MN Metro Area",213718,8.3,12.8,52547,35.3,46.9156482,-96.9597366
"Farmington, NM Metro Area",128476,46.4,22.4,48196,15.2,36.5116245,-108.3245778
"Fayetteville, NC Metro Area",370875,48.8,17.8,45252,22.0,35.0379563,-78.9822092
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",473913,16.3,16.7,47356,27.1,36.1976326,-94.1198967
"Flagstaff, AZ Metro Area",134795,37.9,23.0,49555,31.1,35.8296919,-111.7737277
"Flint, MI Metro Area",421575,25.3,21.0,42089,18.9,43.0210768,-83.7063718
"Florence, SC Metro Area",205739,44.2,21.2,40261,19.9,34.1537745,-79.8060793
"Florence-Muscle Shoals, AL Metro Area",147122,15.5,17.5,41616,19.8,34.7992544,-87.7193881
"Fond du Lac, WI Metro Area",101666,6.1,9.8,53820,20.0,43.7547219,-88.493284
"Fort Collins, CO Metro Area",305798,9.0,14.1,58626,43.8,40.6630912,-105.4821309
"Fort Smith, AR-OK Metro Area",280228,19.0,21.2,38730,16.1,35.2407464,-94.4689702
"Fort Wayne, IN Metro Area",419305,17.6,14.4,49573,24.7,41.0069891,-85.2164054
"Fresno, CA Metro Area",939605,40.3,26.0,45563,19.6,36.7610058,-119.6550193
"Gadsden, AL Metro Area",104260,18.2,19.0,38013,14.8,34.0476377,-86.0344203
"Gainesville, FL Metro Area",266765,28.6,24.9,41826,38.4,29.678067,-82.4797097
"Gainesville, GA Metro Area",182841,18.0,18.7,50853,22.8,34.3175876,-83.8184973
"Gettysburg, PA Metro Area",101496,7.3,8.7,59492,20.4,0,0
"Glens Falls, NY Metro Area",128821,4.6,12.0,54086,23.3,43.44045,-73.6367568
"Goldsboro, NC Metro Area",123382,43.0,22.1,41731,16.4,35.3627413,-78.004826
"Grand Forks, ND-MN Metro Area",98879,9.1,14.9,47973,28.9,47.835929,-96.8426809
"Grand Island, NE Metro Area",82631,6.1,13.0,49794,17.9,0,0
"Grand Junction, CO Metro Area",147432,8.6,14.7,49471,25.7,39.0194924,-108.4618366
"Grand Rapids-Wyoming, MI Metro Area",998916,14.0,14.4,52108,29.1,43.072691,-85.4707813
"Grants Pass, OR Metro Area",82783,6.1,20.2,37733,17.0,0,0
"Great Falls, MT Metro Area",81621,10.8,14.9,44963,24.6,47.3164427,-111.350571
"Greeley, CO Metro Area",258780,13.0,14.7,57180,25.9,40.5557944,-104.3836487
"Green Bay, WI Metro Area",308706,10.1,11.2,52947,24.3,44.4739612,-87.9959258
"Greensboro-High Point, NC Metro Area",730342,34.2,18.0,43608,26.6,36.0252039,-79.7926333
"Greenville, NC Metro Area",170485,40.7,24.3,40718,28.1,35.5680106,-77.462216
"Greenville-Anderson-Mauldin, SC Metro Area",834277,21.3,16.8,45120,26.0,34.7454744,-82.3267734
"Gulfport-Biloxi-Pascagoula, MS Metro Area",375259,26.5,18.2,45479,20.5,30.4876802,-89.1978073
"Hagerstown-Martinsburg, MD-WV Metro Area",254247,14.0,12.7,54592,19.6,39.5543788,-77.9846169
"Hammond, LA Metro Area",122665,32.9,21.2,40654,19.4,0,0
"Hanford-Corcoran, CA Metro Area",151806,28.2,21.0,48133,12.9,36.072478,-119.8155301
"Harrisburg-Carlisle, PA Metro Area",552292,17.5,10.9,57139,29.1,40.3363011,-77.0935965
"Harrisonburg, VA Metro Area",126811,8.9,18.8,47192,27.0,38.5112574,-78.876307
"Hartford-West Hartford-East Hartford, CT Metro Area",1213883,22.8,10.3,68404,35.7,41.7186024,-72.573873
"Hattiesburg, MS Metro Area",144928,31.9,23.0,41297,27.8,31.1893847,-89.2315902
"Hickory-Lenoir-Morganton, NC Metro Area",364501,14.6,17.6,40129,17.0,35.8134396,-81.4552258
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",190762,30.2,14.0,54246,34.4,0,0
"Hinesville, GA Metro Area",80184,49.5,18.8,43722,19.0,31.7787798,-81.576468
"Homosassa Springs, FL Metro Area",140214,6.7,16.8,39100,16.6,0,0
"Hot Springs, AR Metro Area",96547,15.0,20.7,39162,20.9,34.5788613,-93.1469148
"Houma-Thibodaux, LA Metro Area",208623,25.0,15.7,50250,14.1,29.3332656,-90.8441905
"Houston-The Woodlands-Sugar Land, TX Metro Area",6063540,34.3,16.3,57712,29.4,29.8010046,-95.34262
"Huntington-Ashland, WV-KY-OH Metro Area",364749,4.8,19.1,41743,18.6,38.4075778,-82.5471087
"Huntsville, AL Metro Area",424543,28.3,13.2,55774,35.2,34.7838394,-86.7351482
"Idaho Falls, ID Metro Area",134755,8.5,11.8,50841,25.1,43.5457709,-111.8675946
"Indianapolis-Carmel-Anderson, IN Metro Area",1911795,22.0,14.4,52147,30.3,39.6990545,-86.2607838
"Iowa City, IA Metro Area",155868,13.3,16.6,53563,46.2,41.5178058,-91.6479303
"Ithaca, NY Metro Area",102270,17.7,20.5,51393,49.3,42.4532811,-76.4737116
"Jackson, MI Metro Area",160126,12.4,17.0,46615,18.8,42.2484738,-84.4208679
"Jackson, MS Metro Area",571881,51.4,20.0,44850,28.7,32.1895203,-90.1879207
"Jackson, TN Metro Area",129988,33.8,19.9,40959,22.0,35.5434767,-88.7709539
"Jacksonville, FL Metro Area",1363610,29.3,14.6,52258,27.8,30.237006,-81.7552707
"Jacksonville, NC Metro Area",179935,25.0,15.2,45450,18.0,34.76346,-77.5032971
"Janesville-Beloit, WI Metro Area",160345,9.6,14.3,49435,19.4,42.6699307,-89.0751194
"Jefferson City, MO Metro Area",150003,11.4,12.6,51017,25.2,38.6371207,-92.0892275
"Johnson City, TN Metro Area",199583,6.0,20.0,38202,23.8,36.2500912,-82.3313745
"Johnstown, PA Metro Area",142448,6.1,14.9,41730,18.3,40.4941269,-78.7152843
"Jonesboro, AR Metro Area",122801,15.6,22.1,39524,21.1,35.701316,-90.6501165
"Joplin, MO Metro Area",175355,9.1,17.3,40954,19.4,37.0555457,-94.3397364
"Kahului-Wailuku-Lahaina, HI Metro Area",156704,65.2,10.6,63505,25.7,0,0
"Kalamazoo-Portage, MI Metro Area",328660,16.5,19.2,45634,30.1,42.2688708,-86.0373725
"Kankakee, IL Metro Area",112991,20.4,16.4,50102,17.1,41.1394937,-87.8611252
"Kansas City, MO-KS Metro Area",2025297,20.7,12.5,56815,33.3,38.9086649,-94.5086766
"Kennewick-Richland, WA Metro Area",260827,25.0,15.1,58895,24.9,46.363914,-119.2540809
"Killeen-Temple, TX Metro Area",412047,31.6,15.1,49973,20.3,31.2074305,-97.7858838
"Kingsport-Bristol-Bristol, TN-VA Metro Area",308957,4.5,17.0,39008,18.6,36.6041629,-82.4401156
"Kingston, NY Metro Area",182086,12.7,12.5,58590,29.9,41.9472321,-74.265447
"Knoxville, TN Metro Area",843268,9.7,15.9,44666,26.4,35.9294514,-84.015497
"Kokomo, IN Metro Area",82795,11.4,16.7,43590,20.0,40.3976786,-86.0794204
"La Crosse-Onalaska, WI-MN Metro Area",134335,7.5,13.6,51576,28.8,43.7832461,-91.318743
"Lafayette, LA Metro Area",471070,29.0,17.8,46755,20.0,30.1524915,-91.727907
"Lafayette-West Lafayette, IN Metro Area",204560,12.5,20.0,45062,32.4,0,0
"Lake Charles, LA Metro Area",200317,28.1,17.1,44204,19.7,29.9810295,-93.2393843
"Lake Havasu City-Kingman, AZ Metro Area",201680,11.0,19.4,39200,11.9,35.717705,-113.7496891
"Lakeland-Winter Haven, FL Metro Area",610295,21.1,18.2,43113,18.1,27.9531147,-81.6927831
"Lancaster, PA Metro Area",523306,10.5,10.5,56483,24.2,40.0419921,-76.250198
"Lansing-East Lansing, MI Metro Area",465253,18.0,17.4,49896,32.1,42.7136586,-84.6053717
"Laredo, TX Metro Area",254829,6.5,31.4,39449,17.2,27.7705836,-99.3266413
"Las Cruces, NM Metro Area",211175,10.7,27.0,37933,26.6,32.3509119,-106.8321821
"Las Vegas-Henderson-Paradise, NV Metro Area",1976925,33.4,15.1,52873,22.1,36.214236,-115.0138188
"Lawrence, KS Metro Area",112210,15.1,19.0,49508,49.6,38.8965726,-95.2905294
"Lawton, OK Metro Area",130757,34.3,17.2,46051,19.6,34.6626279,-98.4765971
"Lebanon, PA Metro Area",134411,11.0,10.7,54818,19.4,40.3673441,-76.4580089
"Lewiston, ID-WA Metro Area",61260,8.5,12.0,44887,19.9,46.2533666,-116.928511
"Lewiston-Auburn, ME Metro Area",107634,7.3,15.6,44921,18.8,44.1676811,-70.2074347
"Lexington-Fayette, KY Metro Area",478699,18.3,17.3,49441,34.4,38.0913621,-84.4351824
"Lima, OH Metro Area",105895,16.5,18.6,42823,17.2,40.771528,-84.1065456
"Lincoln, NE Metro Area",306697,11.4,14.8,52049,35.5,40.8175158,-96.8687359
"Little Rock-North Little Rock-Conway, AR Metro Area",709447,27.2,14.8,48808,27.4,34.7558188,-92.4007324
"Logan, UT-ID Metro Area",126982,8.2,16.1,49056,34.7,41.8839718,-111.7870927
"Longview, TX Metro Area",215406,22.8,17.3,45819,17.1,32.364601,-94.819897
"Longview, WA Metro Area",102110,9.2,17.6,47596,15.4,46.1859234,-122.6586822
"Los Angeles-Long Beach-Anaheim, CA Metro Area",12945252,44.5,16.5,60252,31.4,0,0
"Louisville/Jefferson County, KY-IN Metro Area",1244880,18.9,14.9,49753,26.3,38.2395982,-85.6875001
"Lubbock, TX Metro Area",294530,20.5,20.5,44245,27.3,33.6130918,-101.5481325
"Lynchburg, VA Metro Area",253959,21.6,15.5,46339,23.2,37.3649258,-79.2166894
"Macon, GA Metro Area",232202,47.2,22.4,40257,20.4,32.8561949,-83.7143103
"Madera, CA Metro Area",151435,18.2,22.8,45625,13.6,37.2100387,-119.7498519
"Madison, WI Metro Area",614019,12.4,12.3,60694,41.5,43.16981,-89.5901035
"Manchester-Nashua, NH Metro Area",402017,9.1,8.6,69829,35.0,42.9116429,-71.7231012
"Manhattan, KS Metro Area",95252,13.4,19.6,46423,40.6,39.2684241,-96.5622422
"Mankato-North Mankato, MN Metro Area",97353,6.9,16.3,53041,31.0,44.1562427,-94.1385176
"Mansfield, OH Metro Area",123387,12.8,15.7,41835,14.9,40.7741674,-82.5427146
"McAllen-Edinburg-Mission, TX Metro Area",790646,11.2,34.8,34146,15.9,26.3963839,-98.18099
"Medford, OR Metro Area",205117,8.2,17.2,44005,24.8,42.411782,-122.6757974
"Memphis, TN-MS-AR Metro Area",1331931,51.6,19.2,47497,25.6,35.0244194,-89.8719712
"Merced, CA Metro Area",258707,33.2,25.4,42591,12.6,37.1948063,-120.7228019
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5673185,28.4,16.9,48148,28.9,26.1018281,-80.4787552
"Michigan City-La Porte, IN Metro Area",111310,14.8,16.5,47538,17.3,41.5490111,-86.7447293
"Midland, MI Metro Area",83842,6.1,13.4,53076,32.3,0,0
"Midland, TX Metro Area",147245,16.8,10.5,62356,24.0,31.8708957,-102.0243264
"Milwaukee-Waukesha-West Allis, WI Metro Area",1560621,25.1,15.3,53479,32.2,43.0176546,-87.4815749
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3391191,18.4,10.6,66940,38.4,45.0663538,-93.2002176
"Missoula, MT Metro Area",110243,7.3,16.5,46117,39.1,47.0272626,-113.8926807
"Mobile, AL Metro Area",413188,39.4,19.8,43028,20.7,30.684573,-88.1965684
"Modesto, CA Metro Area",518321,23.5,20.3,49297,16.4,37.5623842,-121.0026557
"Monroe, LA Metro Area",177217,38.2,23.8,38497,21.5,32.6904772,-92.2627929
"Monroe, MI Metro Area",151408,5.3,12.3,53972,18.0,41.916097,-83.4871059
"Montgomery, AL Metro Area",374868,47.2,18.4,47290,27.1,32.3655943,-86.4045181
"Morgantown, WV Metro Area",132149,7.9,20.0,44727,30.5,39.5251551,-79.8019121
"Morristown, TN Metro Area",114480,6.9,18.8,39669,14.9,36.1710614,-83.4233182
"Mount Vernon-Anacortes, WA Metro Area",117641,12.3,13.5,55925,23.6,48.4930662,-121.8162777
"Muncie, IN Metro Area",117575,10.8,22.3,37474,22.5,40.2271653,-85.3988555
"Muskegon, MI Metro Area",171153,19.3,19.9,40979,17.2,43.2892579,-86.751892
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",387012,18.6,18.0,43626,23.4,33.9092694,-78.9766749
"Napa, CA Metro Area",137837,21.5,10.1,70443,31.3,38.5073511,-122.3259947
"Naples-Immokalee-Marco Island, FL Metro Area",328209,12.4,14.1,55843,31.7,26.1187125,-81.4008838
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1702603,21.9,14.3,52481,30.7,36.1281375,-86.681006
"New Bern, NC Metro Area",127350,29.3,16.3,45781,19.9,0,0
"New Haven-Milford, CT Metro Area",862611,24.7,12.4,61996,32.9,41.3497173,-72.9002037
